citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
64 FR 43895, 99-20924,43896,https://www.federalregister.gov/documents/1999/08/11/99-20924/working-group-on-unlawful-conduct-on-the-internet,https://www.govinfo.gov/content/pkg/FR-1999-08-11/pdf/99-20924.pdf,Presidential Document,Executive Order,08/11/1999,1999-08-05,43895,Working Group on Unlawful Conduct on the Internet,"Amended by: EO 13286, February 28, 2003",13133,""
64 FR 38535, 99-18476,38536,https://www.federalregister.gov/documents/1999/07/19/99-18476/national-infrastructure-assurance-council,https://www.govinfo.gov/content/pkg/FR-1999-07-19/pdf/99-18476.pdf,Presidential Document,Executive Order,07/19/1999,1999-07-14,38535,National Infrastructure Assurance Council,"Revoked by: EO 13231, October 16, 2001
See: EO 13010, July 15, 1996; EO 13286, February 28, 2003",13130,""
64 FR 66089, 99-30687,66090,https://www.federalregister.gov/documents/1999/11/23/99-30687/amendment-to-executive-order-12958-classified-national-security-information,https://www.govinfo.gov/content/pkg/FR-1999-11-23/pdf/99-30687.pdf,Presidential Document,Executive Order,11/23/1999,1999-11-19,66089,Amendment To Executive Order 12958-Classified National Security Information,"Amends: EO 12958, April 17, 1995",13142,""
64 FR 15283, 99-7999,15284,https://www.federalregister.gov/documents/1999/03/30/99-7999/interagency-task-force-on-the-roles-and-missions-of-the-united-states-coast-guard,https://www.govinfo.gov/content/pkg/FR-1999-03-30/pdf/99-7999.pdf,Presidential Document,Executive Order,03/30/1999,1999-03-25,15283,Interagency Task Force on the Roles and Missions of the United States Coast Guard,"Amended by: EO 13138, September 30, 1999",13115,""
64 FR 18797, 99-9738,18797,https://www.federalregister.gov/documents/1999/04/16/99-9738/designation-of-federal-republic-of-yugoslavia-serbiamontenegro-albania-the-airspace-above-and,https://www.govinfo.gov/content/pkg/FR-1999-04-16/pdf/99-9738.pdf,Presidential Document,Executive Order,04/16/1999,1999-04-13,18797,"Designation of Federal Republic of Yugoslavia (Serbia/Montenegro), Albania, the Airspace Above, and Adjacent Waters as a Combat Zone","",13119,""
64 FR 23007, 99-10901,23007,https://www.federalregister.gov/documents/1999/04/29/99-10901/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,https://www.govinfo.gov/content/pkg/FR-1999-04-29/pdf/99-10901.pdf,Presidential Document,Executive Order,04/29/1999,1999-04-27,23007,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,"Amended by: EO 13286, February 28, 2003",13120,""
61 FR 58623, 96-29597,58623,https://www.federalregister.gov/documents/1996/11/18/96-29597/amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection,https://www.govinfo.gov/content/pkg/FR-1996-11-18/pdf/96-29597.pdf,Presidential Document,Executive Order,11/18/1996,1996-11-13,58623,"Amendment to Executive Order 13010, the President's Commission on Critical Infrastructure Protection","Amends: EO 13010, July 15, 1996
Note: EO 13025 is nullified in part by virtue of the Advisory Committee of the President's Commission on Critical Infrastructure Protection being abolished by EO 13138, September 30, 1999.",13025,""
61 FR 58971, 96-29815,58972,https://www.federalregister.gov/documents/1996/11/20/96-29815/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.govinfo.gov/content/pkg/FR-1996-11-20/pdf/96-29815.pdf,Presidential Document,Executive Order,11/20/1996,1996-11-15,58971,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Employees Represented by the Brotherhood of Locomotive Engineers,"",13027,""
61 FR 64589, 96-31164,64590,https://www.federalregister.gov/documents/1996/12/05/96-31164/further-amendments-to-executive-order-no-12757-implementation-of-the-enterprise-for-the-americas,https://www.govinfo.gov/content/pkg/FR-1996-12-05/pdf/96-31164.pdf,Presidential Document,Executive Order,12/05/1996,1996-12-03,64589,Further Amendments to Executive Order No. 12757 Implementation of the Enterprise for the Americas Initiative,"Amends: EO 12757, March 19, 1991
See: EO 12823, December 3, 1996; EO 13131, July 22, 1999
Revoked by: EO 13345, July 8, 2004",13028,""
64 FR 10099, 99-5164,10099,https://www.federalregister.gov/documents/1999/03/01/99-5164/further-amendment-to-executive-order-12852-as-amended-extending-the-presidents-council-on,https://www.govinfo.gov/content/pkg/FR-1999-03-01/pdf/99-5164.pdf,Presidential Document,Executive Order,03/01/1999,1999-02-25,10099,"Further Amendment to Executive Order 12852, as Amended, Extending the President's Council on Sustainable Development","Amends: EO 12852, June 29, 1993 
Note: EO 13114 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13114,""
