citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
39 FR 2075, ,"","","",Presidential Document,Executive Order,01/17/1974,1974-01-15,"",Delegating authority of the President under the Rehabilitation Act of 1973,"Amended by: EO 11784, May 30, 1974; EO       11867, June 19, 1975; EO 12608, September       9, 1976",11758,""
39 FR 2077, ,"","","",Presidential Document,Executive Order,01/17/1974,1974-01-15,"","Prescribing the compensation of certain officials in the Domestic and International Business Administration, Department of Commerce","Supersedes: EO 11567, November 16, 1970
Superseded by: EO 12096, November 2, 1978",11759,""
39 FR 2343, ,"","","",Presidential Document,Executive Order,01/21/1974,1974-01-17,"","Designating the European Space Research Organization (ESRO) as a public international organization entitled to enjoy certain privileges, exemptions, and immunities","Supersedes: EO 11318, December 5, 1966;       EO 11351, May 22, 1967
Amended by: EO 12766, June 18, 1991",11760,""
39 FR 2347, ,"","","",Presidential Document,Executive Order,01/21/1974,1974-01-17,"",Delegating to the Administrator of Veterans' Affairs certain authority relating to grants-in-aid to the Republic of the Philippines for medical care and treatment of veterans,"",11762,""
39 FR 2349, ,"","","",Presidential Document,Executive Order,01/21/1974,1974-01-17,"",Establishing a National Commission for the Observance of World Population Year,"Amended by: EO 11806, September 25,       1974",11763,""
39 FR 2577, ,"","","",Presidential Document,Executive Order,01/23/1974,1974-01-21,"",Sale of vessels of the Navy,"Supersedes: EO 10885, August 31, 1960",11765,""
39 FR 3807, ,"","","",Presidential Document,Executive Order,01/30/1974,1974-01-29,"",Modifying rates of interest equalization tax,"Amends: EO 11464, April 3, 1969
Authority repealed by Pub. L. 94-455 (90 Stat. 1814, 26 U.S.C. 4911 note)
See: EO 11754, December 26, 1973",11766,""
39 FR 10881, ,"","","",Presidential Document,Executive Order,03/22/1974,1974-03-21,"",Revoking the authority of the Department of Agriculture to inspect income tax returns,"Revokes: EO 11697, January 17, 1973; EO       11709, March 27, 1973",11773,""
39 FR 11413, ,"","","",Presidential Document,Executive Order,03/28/1974,1974-03-26,"","Amending Executive Order No. 11768, placing certain positions in levels IV and V of the Executive Schedule","Amends: EO 11768, February 20, 1974
Superseded by: EO 11861, May 21, 1975",11774,""
39 FR 11415, ,"","","",Presidential Document,Executive Order,03/28/1974,1974-03-26,"",Abolishing the Energy Policy Office,"Amends: Proc. 3279, March 10, 1959
Supersedes: EO 11726, June 29, 1973; EO       11743, October 23, 1973
Revoked in part by: EO 11790, June 25, 1974
See: EO 11748, December 4, 1973",11775,""
39 FR 19443, ,"","","",Presidential Document,Executive Order,06/03/1974,1974-05-30,"",Delegating to the Administrator of General Services certain authority to issue regulations relating to joint funding,"Amends: EO 11758, January 15, 1974
Superseded by: EO 11867, June 19, 1975",11784,""
39 FR 20473, ,"","","",Presidential Document,Executive Order,06/11/1974,1974-06-07,"","Inspection of tax returns by the Committee on the Judiciary, House of Representatives","",11786,""
39 FR 22113, ,"","","",Presidential Document,Executive Order,06/20/1974,1974-06-18,"",Providing for the orderly termination of economic stabilization activities,"Revokes: EO 11588, March 29, 1971; EO       11627, October 15, 1971; EO 11640, January       26, 1972; EO 11695, January 11, 1973; EO       11723, June 13, 1973; EO 11730, July 18,       1973; EO 11781, May 1, 1974
Revoked by: EO 12553, February 25, 1986
See: EO 11615, August 15, 1971; EO       11748, December 4, 1973",11788,""
