citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
55 FR 31349, ,"","","",Presidential Document,Executive Order,08/01/1990,1990-07-30,"",Eligibility of overseas employees for noncompetitive appointments,"Revokes: EO 12362, May 12, 1982; EO      12585, March 3, 1987
See: 5 CFR 8.2; EO 13054, July 7, 1997;      EO 13062, September 29, 1997",12721,""
55 FR 31803, ,"","","",Presidential Document,Executive Order,08/03/1990,1990-08-02,"",Blocking Iraqi government property and prohibiting transactions with Iraq,"See: EO 12724, August 9, 1990; EO      12743, January 18, 1991; Notice, July 26, 1991; Notice, July 21, 1992;      EO 12817, October 21, 1992; Notice, July 20,      1993; Notice, July 19, 1994; Notice, July 28, 1995; Notice, July 22, 1996;      Notice of July 31, 1997; Notice of July 20, 1999; Notice of July 28, 2000;      Notice of July 31, 2001; Notice of July 31, 2002; EO 13303, May 22, 2003; Notice of July 31, 2003; Notice of May 19, 2005; Notice of May 18, 2006
Revoked by: EO 13350, July 29, 2004",12722,""
55 FR 31805, ,"","","",Presidential Document,Executive Order,08/03/1990,1990-08-02,"",Blocking Kuwaiti Government Property,"Revoked by: EO 12771, July 25, 1991
See: EO 12725, August 9, 1990; 55 FR 49856",12723,""
55 FR 33089, ,"","","",Presidential Document,Executive Order,08/13/1990,1990-08-09,"",Blocking Iraqi Government property and prohibiting transactions with Iraq,"See: EO 12722, August 2, 1990; EO      12734, November 14, 1990; Notice, July 26, 1991; Notice, July 21, 1992;      EO 12817, October 21, 1992; Notice, July 20,      1993; Notice of July 19, 1994; Notice of July 28, 1995; Notice of July 22,      1996; Notice of July 31, 1997; Notice of July 20, 1999; Notice of July 28,      2000; Notice of July 31, 2001; Notice of July 31, 2002; EO 13303, May 22, 2003; Notice of July 31, 2003; Notice of May 19, 2005; Notice of May 18, 2006
Revoked by: EO 13350, July 29, 2004",12724,""
55 FR 35027, ,"","","",Presidential Document,Executive Order,08/27/1990,1990-08-22,"",Ordering the Selected Reserve of the Armed Forces to active duty,"Amended by: EO 13286, February 28, 2003
See: EO 12733, November 13, 1990",12727,""
55 FR 35029, ,"","","",Presidential Document,Executive Order,08/27/1990,1990-08-22,"","Delegating the President's authority to suspend any provision of law relating to the promotion, retirement, or separation of members of the Armed Forces","Amended by: EO 13286, February 28, 2003",12728,""
55 FR 42547, ,"","","",Presidential Document,Executive Order,10/19/1990,1990-10-17,"",Principles of ethical conduct for Government officers and employees,"Amends: EO 12674 (modifies in its entirety)
See: 57 FR 35006; 57 FR 58399",12731,""
55 FR 47837, ,"","","",Presidential Document,Executive Order,11/15/1990,1990-11-13,"",Authorizing the extension of the period of active duty of personnel of the Selected Reserve of the Armed Forces,"Amended by: EO 13286, February 28, 2003
See: EO 12727, August 22, 1990",12733,""
55 FR 48587, ,"","","",Presidential Document,Executive Order,11/20/1990,1990-11-16,"",Chemical and biological weapons proliferation,"Amended by: Notice, November 14, 1991; Notice, November 11, 1992; Notice, November 12, 1993
Revoked by: EO 12938, November 14, 1994
See: EO 12868, September 30, 1993; EO 12867, September 30, 1993; EO 12923, June 30, 1994; EO 12924, August 19, 1994; EO 13222, August 17, 2001; EO 13382, June 28, 2005",12735,""
55 FR 51681, ,"","","",Presidential Document,Executive Order,12/14/1990,1990-12-12,"",President's Commission on Environmental Quality,"Revoked by: EO 12852, June 29, 1993",12737,""
55 FR 52033, ,"","","",Presidential Document,Executive Order,12/18/1990,1990-12-14,"",Administration of foreign assistance and related functions and arms export controls,"Amends: EO 11958, January 18, 1977;      EO 12163, September 29, 1979",12738,""
56 FR 1079, ,"","","",Presidential Document,Executive Order,01/10/1991,1991-01-08,"",National security industrial responsiveness,"Amended by: EO 13286, February 28, 2003",12742,""
56 FR 2835, ,"","","",Presidential Document,Executive Order,01/25/1991,1991-01-22,"",Waiver under the Trade Act of 1974 with respect to Bulgaria,"",12745,""
56 FR 2837, ,"","","",Presidential Document,Executive Order,01/25/1991,1991-01-23,"",Waiver under the Trade Act of 1974 with respect to Mongolia,"",12746,""
56 FR 3391, ,"","","",Presidential Document,Executive Order,01/29/1991,1991-01-25,"",National Nutrition Monitoring Advisory Council,"",12747,""
56 FR 8255, ,"","","",Presidential Document,Executive Order,02/27/1991,1991-02-25,"","Implementation of the Agricultural Trade Development and Assistance Act of 1954, as amended, and the Food for Progress Act of 1985, as amended","Revokes: EO 12220, June 27, 1980; EO      12583, February 19, 1987
Amended by: EO 13044, April 18, 1997
See: Memorandum of March 11, 2003 (68 FR 12569)",12752,""
56 FR 10501, ,"","","",Presidential Document,Executive Order,03/12/1991,1991-03-08,"",Nuclear Cooperation With EURATOM,"Supersedes: EO 12706, March 9, 1990
Superseded by: EO 12791, March 9, 1992",12753,""
56 FR 11055, ,"","","",Presidential Document,Executive Order,03/15/1991,1991-03-12,"",Establishing the Southwest Asia Service Medal,"Amended by: EO 12790, March 3, 1992",12754,""
56 FR 11057, ,"","","",Presidential Document,Executive Order,03/15/1991,1991-03-12,"",Administration of Export Controls,"Amends: EO 12002, July 7, 1977
See: EO 12923, June 30, 1994; EO      12924, August 19, 1994; EO 13222,      August 17, 2001",12755,""
56 FR 12107, ,"","","",Presidential Document,Executive Order,03/21/1991,1991-03-19,"",Implementation of the Enterprise for the Americas Initiative,"Amended by: EO 12823, December 3, 1992;      EO 13028, December 3, 1996; EO      13131, July 22, 1999
Revoked by: EO 13345, July 8, 2004",12757,""
